Ustanova,Lat,Long
"Institut za kardiovaskularne bolesti Dedinje, BEOGRAD",44.7792059,20.4604454
"Institut za kardiovaskularne bolesti Vojvodine, SREMSKA KAMENICA",45.217821,19.855858
"Institut za onkologiju Vojvodine, SREMSKA KAMENICA",45.217479,19.856101
"Institut za ortopedsko-hiruške bolesti Banjica, BEOGRAD",44.766493,20.460935
"Institut za plućne bolesti Vojvodine, SREMSKA KAMENICA",45.2158,19.83367
"Institut za rehabilitaciju reumatskih i srčanih Bolesnika, NIŠKA BANJA","
43.294079",22.007142
Klinički centar KRAGUJEVAC,44.020114,20.915212
Klinički centar NIŠ,43.313693,21.917917
"Klinički centar Srbije, BEOGRAD",44.798408,20.457382
"Klinički centar Vojvodine, NOVI SAD",45.251425,19.822231
"Kliničko bolnički centar Bežanijska Kosa, BEOGRAD",44.831625,20.382812
"Kliničko bolnički centar Dr Dragiša Mišović Dedinje, BEOGRAD",44.779706,20.459864
Kliničko bolnički centar ZEMUN,44.839564,20.409299
"Kliničko bolnički centar Zvezdara, BEOGRAD",44.800267,20.495322
Opšta bolnica ALEKSINAC,43.539714,21.700824
Opšta bolnica JAGODINA,43.978582,21.255787
Opšta bolnica KIKINDA,45.833686,20.478967
Opšta bolnica KRALJEVO,43.723258,20.695337
Opšta bolnica KRUŠEVAC,43.581769,21.321479
Opšta bolnica LESKOVAC,42.995475,21.938368
Opšta bolnica LOZNICA,44.535621,19.228883
Opšta bolnica NOVI PAZAR,43.133684,20.512464
Opšta bolnica PANČEVO,44.868210,20.652290
Opšta bolnica PARAĆIN,43.864761,21.414035
Opšta bolnica PIROT,43.159697,22.565004
Opšta bolnica POŽAREVAC,44.633261,21.186340
Opšta bolnica PROKUPLJE,43.227775,21.590462
Opšta bolnica SENTA,45.916697,20.093659
Opšta bolnica SMEDEREVO,44.660538,20.924299
Opšta bolnica SMEDEREVSKA PALANKA,44.365237,20.968900
Opšta bolnica SOMBOR,45.781711,19.107701
Opšta bolnica SREMSKA MITROVICA,44.972866,19.606714
Opšta bolnica SUBOTICA,46.081566,19.671279
Opšta bolnica VALJEVO,44.277103,19.896990
Opšta bolnica VRBAS,45.586665,19.639032
Opšta bolnica VRŠAC,45.121680,21.307436
Opšta bolnica ZRENJANIN,45.385813,20.387826
Opšta bolnica ĆUPRIJA,43.937915,21.375185
Opšta bolnica ŠABAC,44.751244,19.692816
"Specijalna bolnica za cerebrovaskularne bolesti ""Sveti Sava"", BEOGRAD",44.807532,20.456677
"Vojno medicinska akademija, BEOGRAD",44.764596,20.467514
Zavod za zdravstvenu zaštitu radnika ŽTP,44.804151,20.453196
Zdravstveni centar ARANĐELOVAC,44.305287,20.562275
Zdravstveni centar UŽICE,43.858475,19.846092
Zdravstveni centar VRANJE,42.552140,21.903520
Zdravstveni centar ZAJEČAR,43.893830,22.290305
Zdravstveni centar ČAČAK,43.874394,20.366093
